mass,value,searchers,targets,walk_type,metric,dc_scaling,predicted_exponent
10.0,487.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1914.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,4287.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,459.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,6634.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,7900.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,8764.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3364.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1105.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1893.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,196.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1217.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3467.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,505.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,869.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,2269.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1511.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,4352.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,283.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1345.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,4257.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1591.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,913.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1965.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,2262.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,4266.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,846.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1306.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1529.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,4957.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,610.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,2997.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1249.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,5911.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,939.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,5094.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,635.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,165.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3659.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1799.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,10096.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3926.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,616.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,9713.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,622.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,11938.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,691.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,4611.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,568.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3907.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3019.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,807.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,2023.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,1023.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,3489.0,20,80.0,CRW,IFCT,Half,-0.5
10.0,119.0,20,80.0,CRW,IFCT,Half,-0.5
